Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Байрак,Маруся,Іванівна,female,1947-06-13,Менеджер з маркетингу,селище Ладижин,"площа Виноградна, буд. 32 кв. 05, Славута, 53216",056 678 99 72,okhrimshovkoplias@example.net
Шведченко,Євген,Євгенович,male,1991-12-12,Аудитор,село Ірпінь,"шосе Стахановський 4-й, буд. 8 кв. 5, Щолкіне, 84150",026 474-54-37,priska33@example.com
Голобородько,Миколай,Станіславович,male,2007-09-24,Системний адміністратор,селище Калинівка ,"шосе Скляний 2-й, буд. 70, Знам'янка, 56548",092 795-50-39,vpustovit@example.org
Вахній,Олександр,Олегович,male,1996-05-14,Програміст,місто Березне,"набережна Юннатів 2-й, буд. 0 кв. 884, Полтава, 72764",031 016-20-36,tsyrotenko@example.net
Батюк,Варвара,Мар'янівна,female,1974-12-06,Асистент керівника,хутір Новояворівськ,"шосе Новгородська, буд. 3, Сколе, 48181",780-39-65,zinchukmykhailyna@example.net
Баранець,Оксенія,Станіславівна,female,1940-04-04,Дизайнер,селище Горішні Плавні,"шосе Ланжеронівська, буд. 707 кв. 75, Рахів, 84638",086 937-39-32,rbezborodko@example.org
Шило,Едита,Андріївна,female,2005-06-09,Кадровий менеджер,місто Глухів,"проспект Деволанівський узвіз, буд. 97 кв. 975, Світлодарськ, 13129",+380 (00) 721-78-61,htiahnybok@example.net
Власюк,Анастасія,Зеновіївна,female,1997-08-13,Менеджер з продажу,хутір Мерефа,"вулиця Прохоровський, буд. 794, Дружба , 10358",055 316-40-70,kmakohon@example.org
Венгринович,Богдан,Мар'янович,male,1951-05-02,Програміст,село Первомайськ,"вулиця Виноградна 2-га, буд. 261, Чоп, 71718",+380 32 473-49-50,alevtyn07@example.org
Гайдабура,Юстина,Романівна,female,1940-12-02,Офіс-менеджер,село Монастирище,"набережна Садова 3-тя, буд. 8 кв. 86, Горохів, 21329",319 76 64,ubatiuk@example.com
Жук,Святослава,Остапівна,female,1980-02-15,Інженер з якості,село Ясинувата,"набережна Ковиловий, буд. 552, Снігурівка, 64039",+380 95 199 19 95,liza77@example.com
Деркач,Амвросій,Васильович,male,2008-02-23,Офіс-менеджер,місто Богуслав,"набережна 4-та Суворовська, буд. 893, Долина , 89179",577 49 98,kostiantynbashpolchenko@example.org
Бабій,Юстим,Максимович,male,1991-12-07,Програміст,хутір Ялта,"провулок Уманська, буд. 7, Рубіжне, 53616",972-49-95,danylosvyrydenko@example.net
Бабійчук,Левко,Олегович,male,1955-01-04,Копірайтер,село Тиврів,"провулок Виставочна, буд. 470, Радомишль, 83564",+380 98 600-83-49,herman49@example.net
Байрак,Семен,Тарасович,male,1941-09-02,Системний адміністратор,село Добромиль,"площа Восьмого березня 5-й, буд. 992, Федорівка, 35125",+380 (88) 385-24-60,qkybkalo@example.com
Базилевський,Пантелеймон,Григорійович,male,1976-08-06,Архітектор,місто Гайворон,"шосе Бехтерєва, буд. 911 кв. 01, Бахчисарай, 41904",+380 58 494-34-09,xsych@example.org
Шамрай,Нестор,Захарович,male,2000-04-16,Бухгалтер,хутір Вишневе ,"сквер Яблучна, буд. 9 кв. 067, Охтирка, 71779",+380 (53) 630-68-60,maksymhavrylets@example.net
Орлик,Наталія,Юріївна,female,2003-04-21,HR-менеджер,село Довжанськ,"провулок Картамишевська, буд. 75, Глухів, 84523",+380 97 476-00-44,dmytrokadeniuk@example.net
Харченко,Орина,Сергіївна,female,1955-10-23,Кадровий менеджер,село Ровеньки,"набережна Куниці, буд. 7 кв. 852, Лохвиця, 20889",+380 45 929-34-88,dankadeniuk@example.net
Байрак,Ірена,Вікторівна,female,1941-05-14,Програміст,село Саки ,"шосе 12-та ст. Великого Фонтану пляж, буд. 701, Вознесенськ, 77996",+380 (84) 699-46-28,ziemelianenko@example.com
Баранник,Дмитро,Станіславович,male,1982-07-12,Кадровий менеджер,селище Монастириська,"парк Кар’єрна, буд. 38, Нікополь, 04815",392-61-50,ievtushokvira@example.org
Базавлученко,Аврелій,Леонідович,male,1941-11-16,Тестувальник,село Миколаївка ,"сквер Уманська, буд. 23 кв. 76, Генічеськ, 37117",+380 49 382 67 68,kozachenkonadiia@example.net
Чумак,Андрій,Сергійович,male,1946-11-09,Фінансовий аналітик,село Вишгород,"узвіз Золотий берег, буд. 3, Рава-Руська, 12448",+380 32 462-84-21,bohdanna50@example.net
Байда,Ярина,Іванівна,female,2006-11-29,Аналітик даних,село Південне ,"шосе Деревообробна, буд. 566, Південне , 15944",195-86-48,echmil@example.net
Хомик,Вікторія,Остапівна,female,1982-02-07,Менеджер з продажу,місто Чернівці,"площа Академіка Воробйова, буд. 6, Підгайці, 17988",+380 52 818 48 03,oksanababenko@example.net
Уманець,Феофан,Тарасович,male,1975-05-17,Бухгалтер,селище Немирів,"узвіз Чорноморка, буд. 89 кв. 68, Сокиряни, 54279",+380 05 308-65-60,irena39@example.net
Єсипенко,Захар,Борисович,male,1938-05-23,Дизайнер,село Ворожба,"вулиця Вернидуба, буд. 3 кв. 855, Сніжне, 86602",198-69-01,zakharbazylevskyi@example.net
Гречко,Августин,Марківич,male,1995-10-03,Дизайнер,хутір Бершадь,"шосе Садова, буд. 1, Оріхів, 71360",+380 57 360-12-42,ieshchenkosolomiia@example.org
Дубенко,Григорій,Володимирович,male,1998-09-09,Тестувальник,селище Нетішин,"сквер Пересипська 1-ша, буд. 900 кв. 2, Южноукраїнськ, 35777",045 521-19-34,babarychenkostefan@example.net
Бевз,Віолетта,Мар'янівна,female,2007-03-19,Офіс-менеджер,селище Сіверськ,"узвіз Нахімова, буд. 5 кв. 475, Городня, 84198",012 135-23-98,pbaida@example.net
Артим,Ярослав,Андрійович,male,1982-01-11,Менеджер з маркетингу,місто Рудки,"парк Гранатна, буд. 01, Новий Розділ, 79996",+380 (91) 345-16-54,tetiana25@example.com
Даценко,Євген,Денисович,male,2002-09-05,Програміст,село Рівне,"провулок Балтський 5-й, буд. 69 кв. 08, Звенигородка, 47249",+380 23 445-61-15,qkhudobiak@example.org
Гавришкевич,Спас,Павлович,male,2006-01-01,Кадровий менеджер,село Соснівка ,"шосе Венгера, буд. 328, Лозова , 92320",003-65-80,demydenkofedir@example.com
Швайка,Ярина,Геннадіївна,female,1948-01-31,HR-менеджер,селище Буськ,"вулиця Побратимів, буд. 37, Гірник , 24058",492 73 27,ababiichuk@example.net
Гавришкевич,Оксенія,Олегівна,female,1955-08-31,Архітектор,хутір Ясинувата,"вулиця Глазунова 2-й, буд. 2 кв. 24, Білгород-Дністровський, 61096",+380 86 923-94-91,thres@example.org
Яремчук,Маруся,Борисівна,female,1999-02-16,Програміст,селище Кам'янка-Дніпровська,"вулиця Василя Кандинського 5-й, буд. 50, Слов'янськ, 15322",097 743-50-65,larysa86@example.net
Артеменко,Соломон,Олегович,male,1965-09-27,Системний адміністратор,село Оріхів,"сквер Маріїнська, буд. 432, Хмельницький, 76127",+380 99 072-78-89,xchaika@example.net
Давиденко,Владислав,Остапович,male,1981-02-26,Кадровий менеджер,хутір Ямпіль,"проспект Агрономічний, буд. 78 кв. 13, Радехів, 70381",+380 (84) 878-92-58,nazar34@example.org
Іващенко,Мартин,Давидович,male,1965-07-08,Бухгалтер,селище Лиман ,"проспект Іванова 2-й, буд. 514 кв. 332, Косів, 38304",+380 56 676-07-62,jshevchenko@example.net
Доценко,Ігнат,Павлович,male,2003-03-03,Асистент керівника,хутір Красногорівка,"сквер Юннатів 3-й, буд. 09 кв. 7, Лубни, 62849",+380 82 787-93-81,anastasiiaiaremenko@example.org
Андрощук,Аніта,Давидівна,female,1941-08-16,Інженер з якості,хутір Погребище,"парк Якірний, буд. 47, Охтирка, 13416",+380 68 938-74-44,arkadii52@example.com
Засуха,Пилип,Тарасович,male,1943-03-23,Асистент керівника,селище Корсунь-Шевченківський,"парк Лінія 24-та, буд. 206, Бучач, 16094",884 01 79,adam23@example.net
Теличенко,Віталій,Сергійович,male,1940-01-13,Менеджер з продукту,місто Новояворівськ,"набережна Олександра Невського, буд. 2, Виноградів, 55978",637-89-56,veniiamyn43@example.org
Єщенко,Едита,Іванівна,female,1954-02-25,Тестувальник,місто Нікополь,"узвіз Технічний, буд. 12 кв. 303, Рахів, 63485",+380 44 521-07-64,maryna01@example.com
Килимник,Вікторія,Геннадіївна,female,1989-02-17,Бухгалтер,селище Дніпро ,"набережна Яблунева, буд. 958, Молочанськ, 92980",048 433-49-37,valentyna48@example.com
Євдокименко,Борислав,Олегович,male,1976-02-26,Системний адміністратор,село Деражня,"шосе Басейний 1-й, буд. 25 кв. 93, Євпаторія, 45908",020 405-50-59,mdanko@example.net
Ващенко-Захарченко,Віолетта,Григоріївна,female,1974-11-04,Асистент керівника,село Бердичів,"площа Льва Толстого, буд. 577, Помічна, 49924",488 85 99,anastasiia37@example.net
Рева,Віталій,Захарович,male,2003-09-23,PR-менеджер,хутір Полтава,"сквер Студентський 3-й, буд. 237 кв. 786, Броди, 51631",+380 62 254 70 04,anitavashchenko-zakharchenko@example.com
Закусило,Аліна,Вікторівна,female,2002-02-26,Менеджер з продукту,хутір Краматорськ,"вулиця 10-та Суворовська, буд. 44, Глухів, 44476",+380 56 974-33-89,petro44@example.net
Симоненко,Емілія,Назарівна,female,1953-03-24,Тестувальник,місто Остер ,"вулиця Латвійський узвіз, буд. 709, Пологи , 37578",023 685 86 74,taraskabaliuk@example.com
Жадан,Богданна,Андріївна,female,1996-07-15,Менеджер з маркетингу,селище Луцьк,"шосе Щоглова, буд. 34, Вишгород, 69594",+380 (34) 814-52-35,pavlo78@example.net
Мазепа,Аніта,Мар'янівна,female,1956-12-20,HR-менеджер,місто Могилів-Подільський,"набережна Художника Федорова, буд. 4, Бунге , 52373",530 87 25,edyta49@example.net
Лесик,Богодар,Зеновійович,male,1991-02-03,Копірайтер,селище Ватутіне,"парк Зелена балка, буд. 66, Кобеляки, 26509",333 26 14,kvashchuk@example.com
Єщенко,Сергій,Станіславович,male,1955-09-28,Копірайтер,місто Ічня,"узвіз Поперечний, буд. 958, Деражня, 63300",113-89-11,rozaliia35@example.com
Андрощук,Златослава,Станіславівна,female,1972-06-25,Менеджер з закупівель,місто Снятин,"провулок Зарічна, буд. 94, Вільногірськ, 24655",057 031-55-79,hvertyporokh@example.org
Швачка,Орхип,Григорійович,male,1986-01-06,PR-менеджер,місто Балаклія,"узвіз Слобідська, буд. 568, Долина , 27403",+380 55 711-79-60,hryhorii05@example.org
Чумаченко,Віолетта,Марківна,female,1992-10-18,Асистент керівника,хутір Таврійськ,"проспект Металістів, буд. 7 кв. 45, Бобринець, 73209",+380 (84) 909-12-18,olifirenkosofiia@example.org
Засуха,Тетяна,Вікторівна,female,1975-11-02,Бухгалтер,місто Угнів,"сквер Довженка, буд. 7, Вінниця, 75449",+380 06 013 85 41,adaiashchenko@example.org
Атаманюк,Марина,Олександрівна,female,1979-06-10,Програміст,хутір Новий Розділ,"сквер Ювілейний 1-й, буд. 0 кв. 0, Кілія, 93612",170 37 22,nbashtan@example.org
Проценко,Ярослава,Костянтинівна,female,1992-01-26,Бухгалтер,село Ніжин,"парк Наливна, буд. 148, Рівне, 44774",+380 44 759 13 39,viktor01@example.org
Євтушенко,Анастасія,Давидівна,female,1974-12-30,Менеджер з продажу,селище Вільногірськ,"вулиця Шишкіна 3-й, буд. 704, Козятин, 45441",017 387-89-97,mromanets@example.net
Годунок,Остап,Денисович,male,1952-03-24,Тестувальник,місто Вільнянськ,"набережна Матеріальний 1-й, буд. 90, Христинівка, 20993",+380 97 653-59-21,iukhymenkomaryna@example.com
Зінчук,Леонід,Олександрович,male,1970-04-28,Копірайтер,місто Пустомити,"провулок 2-й Академічний тупик, буд. 64 кв. 9, Знам'янка, 42446",+380 24 077 07 04,svitlana08@example.net
Скиба,Богдан,Федорович,male,2000-02-12,Менеджер з маркетингу,село Івано-Франківськ,"площа Контрадмірала Луніна, буд. 057, Алупка, 31018",+380 40 134 72 71,havrylo17@example.com
Царенко,Франц,Кирилович,male,1965-02-23,Менеджер з маркетингу,селище Синельникове,"площа Маринеско узвіз, буд. 23, Селидове, 49177",621 97 51,vasyl99@example.org
Юрчишин,Златослава,Вікторівна,female,1953-01-16,Тестувальник,селище Карлівка,"набережна Соляний 6-й, буд. 953, Мирноград, 72795",+380 20 179-43-67,kdrozd@example.net
Михалюк,Ірена,Петрівна,female,1959-06-25,PR-менеджер,село Бар,"провулок Ушинського, буд. 57, Новий Калинів, 02483",+380 82 786-18-20,moskalrostyslav@example.net
Рябошапка,Ярина,Ігорівна,female,1938-06-13,Менеджер з продажу,хутір Суми,"парк Генуезька, буд. 285 кв. 624, Южноукраїнськ, 49326",+380 40 230-81-17,mykhailynahabelko@example.com
Ткач,Єлисавета,Захарівна,female,1968-02-22,Інженер з якості,селище Семенівка,"набережна Асташкіна, буд. 570 кв. 858, Івано-Франківськ, 35689",325-35-06,baranklyment@example.com
Шелест,Ярема,Захарович,male,1992-06-01,Аудитор,хутір Боково-Хрустальне,"узвіз Проектований 4-й, буд. 557, Бережани, 80887",+380 85 782-17-07,trokhym30@example.net
Засядько,Гордій,Костянтинович,male,1965-04-14,Аналітик даних,хутір Збараж,"проспект Оранжерейний, буд. 79, Ромни, 85043",016 92 84,leopoldartiushenko@example.org
Батюк,Гаврило,Петрович,male,1950-09-08,Менеджер з продукту,селище Дніпрорудне,"вулиця Текстильників, буд. 7, Бібрка, 21226",037 963 62 26,ruslanbabarychenko@example.net
Авраменко,Святослава,Данилівна,female,1975-09-01,Архітектор,селище Жовква,"узвіз Басейний 1-й, буд. 0 кв. 6, Карлівка, 53784",+380 55 671-69-85,zaporozhetsheorhii@example.org
Твердохліб,Едита,Марківна,female,1939-02-06,Програміст,село Острог,"вулиця Мечникова, буд. 7, Зоринськ, 40985",771-09-77,fartushniakliudmyla@example.org
Овчаренко,Михайлина,Петрівна,female,1946-04-19,Асистент керівника,село Острог,"сквер Липнева, буд. 73 кв. 06, Збараж, 56998",172 15 37,vlubenets@example.com
Затовканюк,Тереза,Мар'янівна,female,2008-11-07,Тестувальник,хутір Болград,"сквер Гоголя, буд. 99, Косів, 74794",+380 28 979 42 98,demydkolisnychenko@example.org
Овчаренко,Борислав,Федорович,male,1964-07-19,Системний адміністратор,селище Подільськ,"шосе Державіна, буд. 516, Канів, 13513",+380 45 389-64-49,ymakohon@example.org
Ніколюк,Олександр,Федорович,male,1985-10-31,Менеджер з продукту,село Кропивницький,"парк Кондренка, буд. 507 кв. 4, Теплодар, 86288",090 562-57-39,radchenkodemyd@example.org
Алексюк,Марія,Тимофіївна,female,1952-07-01,Фінансовий аналітик,село Долина ,"проспект Ільфа і Петрова, буд. 841 кв. 214, Вознесенськ, 96784",068 010 71 81,kostiantyn28@example.org
Запорожець,Олександр,Станіславович,male,1970-08-02,Копірайтер,село Камінь-Каширський,"вулиця Мічуріна, буд. 06, Чистякове, 68597",+380 87 843-63-15,veniiamyn25@example.net
Піддубний,Марія,Марківна,female,2007-04-16,Архітектор,селище Білгород-Дністровський,"проспект 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 582, Баранівка, 73958",+380 79 864 35 12,iakiv75@example.net
Колодуб,Євген,Олексійович,male,1970-07-09,Інженер з якості,селище Шепетівка,"площа 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 1 кв. 0, Винники, 05358",+380 (91) 061-41-25,fbandera@example.net
Адаменко,Макар,Тарасович,male,1966-05-27,Кадровий менеджер,село Тиврів,"провулок ім. С.Ю. Вітте, буд. 5 кв. 96, Приморськ (Україна), 44485",+380 44 012-67-16,marko36@example.org
Ільченко,Орхип,Андрійович,male,1941-11-01,Асистент керівника,хутір Фастів,"набережна Біляївська, буд. 41 кв. 7, Шаргород, 72258",+380 (19) 004-23-83,bandurkahlib@example.com
Засядько,Варвара,Григоріївна,female,1950-02-06,Офіс-менеджер,місто Мелітополь,"шосе Рощева, буд. 6, Щолкіне, 25290",675 20 35,ievhenustenko@example.org
Валенко,Зиновій,Остапович,male,1946-07-16,Кадровий менеджер,село Долина ,"площа Артилерійська, буд. 7, Костопіль, 66392",086 646-18-04,shabelko@example.org
Лукаш,Сергій,Денисович,male,1943-08-29,Інженер з якості,хутір Чуднів,"площа Молодогвардійська, буд. 48 кв. 836, Богодухів, 89363",+380 17 361 97 70,haidenkosvitlana@example.org
Гук,Єлисавета,Юріївна,female,1996-03-14,Кадровий менеджер,місто Білогірськ,"проспект Магнітогорський 2-й, буд. 753 кв. 5, Городище , 17571",+380 (67) 051-89-18,leontiimoskal@example.net
Вітрук,Аарон,Денисович,male,2008-12-27,PR-менеджер,селище Бережани,"сквер Амурський 3-й, буд. 3 кв. 2, Синельникове, 63739",592-44-59,bchekaliuk@example.net
Данильчук,Панас,Андрійович,male,2008-02-26,Асистент керівника,селище Тараща,"набережна Амбулаторна, буд. 784, Вознесенівка, 03687",+380 56 868-60-16,lshukhevych@example.org
Скоробогатько,Геннадій,Денисович,male,2002-02-08,Аудитор,село Новоукраїнка,"узвіз Студентський 3-й, буд. 135 кв. 8, Кремінна, 65221",+380 (26) 416-72-68,leontii67@example.org
Салій,Амалія,Денисівна,female,1996-11-25,Програміст,хутір Новояворівськ,"проспект Восьмого березня 9-й, буд. 42 кв. 418, Батурин, 90679",622-73-43,pavlykleopold@example.org
Юрченко,Анастасія,Олегівна,female,1960-06-09,Аналітик даних,селище Шахтарськ,"набережна Кавказький, буд. 3, Донецьк, 84561",060 708-40-59,prokhirchumachenko@example.com
Лупій,Дмитро,Олександрович,male,1960-12-13,Системний адміністратор,селище Кодима,"площа Учительський, буд. 2, Дергачі, 39401",+380 95 865-51-36,gtiahnybok@example.com
Якименко,Розалія,Максимівна,female,1971-11-23,Копірайтер,хутір Конотоп,"вулиця Гладкова, буд. 978, Немирів, 68175",+380 22 884-49-97,gzasiadko@example.com
Гречко,Дан,Данилович,male,1957-06-19,Кадровий менеджер,місто Богодухів,"набережна Вєтрова, буд. 631 кв. 657, Южне, 97061",+380 68 370-43-87,habelkonazar@example.com
Гаврилишин,Данило,Федорович,male,1997-11-07,HR-менеджер,село Бар,"площа Дерибасівська, буд. 3 кв. 89, Джанкой, 72979",+380 03 867 06 85,avhustyndurdynets@example.org
Кальченко,Богдан,Давидович,male,1979-12-04,Асистент керівника,місто Рожище,"узвіз Катерининська, буд. 09, Шпола, 39265",+380 09 104-67-89,sadamenko@example.org
Корпанюк,Володимира,Василівна,female,1968-12-21,Менеджер з маркетингу,селище Дергачі,"парк Новоукраїнський, буд. 3 кв. 901, Овруч, 07119",+380 14 908-15-31,illiatytarenko@example.net
Євтушок,Мартин,Максимович,male,1953-09-25,Асистент керівника,селище Вінниця,"вулиця Макарова, буд. 19, Дебальцеве, 31192",683-95-06,oleksandr87@example.org
Ґжицький,Богдан,Євгенович,male,1950-10-16,Тестувальник,хутір Хорол ,"сквер Олександра Матросова, буд. 3, Вилкове, 61844",+380 (29) 193-25-05,ydanyliuk@example.org
Ісаєвич,Дмитро,Денисович,male,1983-01-12,Тестувальник,село Олевськ,"парк Новомосковська дорога, буд. 6, Харків, 29698",+380 02 574-89-72,hordiidziuba@example.net
Вітер,Гордій,Денисович,male,1993-09-28,Аналітик даних,хутір Козятин,"шосе Дем’янова, буд. 33, Мерефа, 50655",+380 98 681 20 87,chornovilheorhii@example.net
Павличенко,Демʼян,Костянтинович,male,1986-06-04,HR-менеджер,хутір Вільнянськ,"парк Кавунова, буд. 57, Вишневе , 38118",004 361-15-97,rubanolha@example.org
Вітер,Ганна,Костянтинівна,female,1950-07-20,Бухгалтер,селище Первомайськ,"шосе Толбухіна, буд. 5, Мирноград, 96415",+380 64 338-66-75,zriabchenko@example.net
Андрейко,Спас,Денисович,male,1942-12-15,Менеджер з маркетингу,село Умань,"набережна Ланжеронівський узвіз, буд. 152, Тиврів, 45636",009 988-14-30,mmykytiuk@example.org
Чумаченко,Орест,Романович,male,1979-10-26,Аудитор,селище Підгородне,"узвіз Сашка Хорошенка, буд. 2 кв. 948, Ялта, 25098",+380 23 427-10-16,volodymyr61@example.net
Конопля,Григорій,Назарович,male,1988-12-04,Менеджер з продажу,місто Зіньків,"сквер Лінія 53-тя, буд. 5 кв. 51, Кривий Ріг, 28372",002 394 96 72,nadiia59@example.net
Дейсун,Хома,Денисович,male,1982-05-13,HR-менеджер,селище Докучаєвськ,"сквер Банний, буд. 152 кв. 1, Ясинувата, 70907",031 570 31 78,hanna75@example.net
Ващенко,Станіслав,Данилович,male,1939-07-20,Менеджер з маркетингу,хутір Сімферополь,"вулиця 4-та Лінія Марії Демченко, буд. 297 кв. 801, Устилуг, 63541",+380 49 680-82-72,tymofii56@example.net
Заєць,Леон,Ярославович,male,1989-09-23,Офіс-менеджер,селище Надвірна,"узвіз Шилова, буд. 95, Тульчин, 54055",592-17-73,pkabanenko@example.org
Рудько,Руслан,Геннадійович,male,1960-05-19,Бухгалтер,хутір Перемишляни,"сквер Ботанічний, буд. 189 кв. 36, Борщів, 73576",+380 94 029-82-92,ybhydenko@example.org
Баштан,Марко,Васильович,male,1982-09-28,Менеджер з продукту,хутір Кипуче,"узвіз Скляний 1-й, буд. 70 кв. 4, Славута, 66779",944-43-90,svystunielysei@example.org
Данько,Святослава,Остапівна,female,1958-02-16,Офіс-менеджер,селище Гуляйполе,"провулок Пастера, буд. 854 кв. 5, Подільськ, 66944",+380 60 406-41-53,pavlotelizhenko@example.org
Скорик,Леонід,Кирилович,male,2006-10-31,Асистент керівника,хутір Лисичанськ,"узвіз Кільовий, буд. 785, Шахтарськ, 51527",021 374-67-98,artymoles@example.net
Вовк,Симон,Ігорович,male,1991-10-06,Інженер з якості,село Переяслав,"проспект Героїв прикордонників, буд. 7, Волноваха, 69946",090 606 69 43,fnosachenko@example.com
Жадан,Франц,Борисович,male,1997-11-01,Тестувальник,селище Маріуполь,"площа Дукова, буд. 02 кв. 841, Географія Вільнянська, 94162",+380 (10) 841-40-01,ruslanhrechko@example.org
Акуленко,Остап,Олексійович,male,1945-06-02,Фінансовий аналітик,селище Нововолинськ,"провулок Бісквітний, буд. 0 кв. 992, Татарбунари, 91500",+380 60 404-02-60,mykhailyna37@example.com
Гаврилець,Степан,Ярославович,male,1968-03-06,HR-менеджер,селище Балта,"набережна Тимірязєва 3-й, буд. 6 кв. 010, Марганець , 97179",+380 23 702-81-61,radchenkolevko@example.org
Цюцюра,Ярослав,Романович,male,1992-03-13,Менеджер з маркетингу,село Ворожба,"проспект Кондренка, буд. 10 кв. 629, Дергачі, 67487",+380 (99) 630-21-18,kybkalosemen@example.com
Сірко,Петро,Олександрович,male,1998-04-03,Менеджер з продажу,село Снігурівка,"вулиця Людмили Гінзбург, буд. 84, Одеса, 84996",+380 (58) 835-68-43,somkotrokhym@example.org
Закусило,Пармен,Геннадійович,male,1947-01-30,Інженер з якості,хутір Стрий,"парк Заводська, буд. 6 кв. 093, Біляївка, 55368",+380 (98) 684-24-83,priskavalenko@example.org
Чміль,Устим,Ігорович,male,1945-03-05,HR-менеджер,місто Очаків,"провулок Безіменний, буд. 2 кв. 24, Арциз, 46456",+380 (58) 908-03-18,khoma43@example.com
Дрозденко,Макар,Костянтинович,male,1956-01-09,Аналітик даних,хутір Яготин,"шосе Мазараті, буд. 458 кв. 38, Гайворон, 01553",063 413-26-22,mykhailo58@example.net
Гайдай,Христина,Петрівна,female,1990-08-17,Менеджер з закупівель,місто Севастополь,"парк Пересипська 10-та, буд. 62 кв. 355, Борщів, 12808",+380 (76) 338-64-30,martyn91@example.org
Арсенич,Олег,Іванович,male,1968-05-28,Асистент керівника,селище Свалява,"сквер Ювілейний 1-й, буд. 391, Бобринець, 90947",360 45 93,iukhymenkoalbina@example.org
Ісаєвич,Валентин,Григорійович,male,1946-12-29,Менеджер з продажу,село Красноперекопськ,"вулиця Мазараті, буд. 4 кв. 38, Бердянськ, 79293",008 728-04-44,frants88@example.com
Жаліло,Пилип,Геннадійович,male,1939-01-30,Аудитор,село Ніжин,"проспект Олександрівський, буд. 740, Носівка, 54357",+380 73 478 85 40,vasylynabebeshko@example.org
Баклан,Франц,Остапович,male,1973-07-17,Аудитор,селище Берислав,"проспект Тургенєва, буд. 87 кв. 156, Брянка, 45479",+380 80 841 13 48,larysadanyliuk@example.com
Нестайко,Максим,Вікторович,male,1993-06-14,Менеджер з маркетингу,село Липовець,"площа Тульська, буд. 38 кв. 958, Керч, 77262",+380 (20) 666-25-44,taronets@example.net
Шинкаренко,Георгій,Станіславович,male,1991-07-27,Аналітик даних,місто Карлівка,"сквер Наявний 4-й, буд. 66, Старий Самбір, 52364",+380 87 069-69-86,viktoriianosenko@example.com
Вакарчук,Леонід,Андрійович,male,1979-07-15,Копірайтер,хутір Кремінна,"провулок Одеська, буд. 071, Старий Крим, 66635",003 169 72 66,lverkhola@example.com
Шаповал,Нестор,Остапович,male,1960-06-11,HR-менеджер,селище Острог,"вулиця Азербайджан, буд. 3 кв. 6, Андрушівка, 03703",+380 67 537-34-29,odarka02@example.org
Дергач,Данна,Петрівна,female,1964-08-29,Копірайтер,місто Іллінці,"парк Вільгельма Габсбурга, буд. 85 кв. 163, Борзна, 31744",+380 (08) 997-86-27,oleksandrbabiuk@example.org
Гайдабура,Емілія,Олексіївна,female,1968-08-09,Архітектор,село Красилів,"площа Стеценко, буд. 12 кв. 3, Ірміно, 35918",+380 75 180-19-32,fedir11@example.com
Гоголь-Яновський,Пріска,Максимівна,female,1965-07-06,Програміст,місто Глухів,"набережна Тупиковий 1-й, буд. 389, Балаклія, 31539",+380 73 091 27 05,shvachkoiaroslav@example.com
Шведченко,Лариса,Вікторівна,female,1953-03-06,Менеджер з продажу,місто Кіцмань,"сквер Друга, буд. 96 кв. 26, Нікополь, 35783",468 75 32,terezadotsenko@example.com
Чорновіл,Аарон,Олексійович,male,1994-06-07,Менеджер з продажу,село Олевськ,"провулок Колективний, буд. 7, Василівка , 26999",+380 30 163-39-71,fmishchenko@example.org
Ковалюк,Володимира,Федорівна,female,2000-09-06,Системний адміністратор,селище Заліщики,"проспект Манежний, буд. 498 кв. 6, Городок, 67053",+380 77 932 09 04,liliianalyvaiko@example.org
Тихий,Алевтин,Борисович,male,1981-08-20,HR-менеджер,селище Татарбунари,"шосе Краснова, буд. 9, Чистякове, 24628",+380 30 923 58 50,amvrosiihuz@example.net
Архипенко,Олесь,Євгенович,male,1952-11-05,Копірайтер,селище Вилкове,"набережна Глухий міст, буд. 702, Івано-Франківськ, 83398",905 79 83,myroslavshvedchenko@example.org
Адамчук,Борислав,Борисович,male,1941-03-21,HR-менеджер,селище Миронівка,"парк Лютневий 1-й, буд. 21 кв. 577, Тетіїв, 10486",878 53 85,iakivierchenko@example.org
Андрусенко,Нестор,Максимович,male,1968-12-10,Менеджер з продажу,село Вільногірськ,"узвіз Круговий, буд. 8 кв. 008, Прилуки, 76045",366-00-25,rozaliia76@example.org
Пилипенко,Михайлина,Тимофіївна,female,2008-04-02,Системний адміністратор,село Амвросіївка,"проспект Свободи, буд. 4 кв. 2, Обухів, 02944",+380 49 296-84-10,iakiviaremchuk@example.net
Ейбоженко,Гордій,Андрійович,male,1968-06-26,Дизайнер,хутір Гадяч,"набережна Чорноморська, буд. 71 кв. 7, Сіверськ, 02803",027 35 98,emiliiaievtushok@example.net
Рябченко,Василь,Денисович,male,1970-03-05,Бухгалтер,село Запоріжжя,"узвіз Овідіопольська дуга, буд. 7 кв. 570, Чернівці, 08487",+380 79 163-23-80,levkosvystun@example.com
Цимбал,Борис,Максимович,male,1951-03-01,Інженер з якості,хутір Лубни,"вулиця Сєрова, буд. 323 кв. 2, Кролевець, 02425",038 081-63-59,veniiamyn47@example.com
